PassengerId,Pclass=1,Pclass=2,Pclass=3,Sex=female,Age,SibSp,Parch,Fare,Embarked=S,Embarked=C,Embarked=Q,Survived
892,0,0,1,0,34.5,0,0,7.8292,1,0,0,?
893,0,0,1,1,47,1,0,7,0,1,0,?
894,0,1,0,0,62,0,0,9.6875,1,0,0,?
895,0,0,1,0,27,0,0,8.6625,0,1,0,?
896,0,0,1,1,22,1,1,12.2875,0,1,0,?
897,0,0,1,0,14,0,0,9.225,0,1,0,?
898,0,0,1,1,30,0,0,7.6292,1,0,0,?
899,0,1,0,0,26,1,1,29,0,1,0,?
900,0,0,1,1,18,0,0,7.2292,0,0,1,?
901,0,0,1,0,21,2,0,24.15,0,1,0,?
902,0,0,1,0,?,0,0,7.8958,0,1,0,?
903,1,0,0,0,46,0,0,26,0,1,0,?
904,1,0,0,1,23,1,0,82.2667,0,1,0,?
905,0,1,0,0,63,1,0,26,0,1,0,?
906,1,0,0,1,47,1,0,61.175,0,1,0,?
907,0,1,0,1,24,1,0,27.7208,0,0,1,?
908,0,1,0,0,35,0,0,12.35,1,0,0,?
909,0,0,1,0,21,0,0,7.225,0,0,1,?
910,0,0,1,1,27,1,0,7.925,0,1,0,?
911,0,0,1,1,45,0,0,7.225,0,0,1,?
912,1,0,0,0,55,1,0,59.4,0,0,1,?
913,0,0,1,0,9,0,1,3.1708,0,1,0,?
914,1,0,0,1,?,0,0,31.6833,0,1,0,?
915,1,0,0,0,21,0,1,61.3792,0,0,1,?
916,1,0,0,1,48,1,3,262.375,0,0,1,?
917,0,0,1,0,50,1,0,14.5,0,1,0,?
918,1,0,0,1,22,0,1,61.9792,0,0,1,?
919,0,0,1,0,22.5,0,0,7.225,0,0,1,?
920,1,0,0,0,41,0,0,30.5,0,1,0,?
921,0,0,1,0,?,2,0,21.6792,0,0,1,?
922,0,1,0,0,50,1,0,26,0,1,0,?
923,0,1,0,0,24,2,0,31.5,0,1,0,?
924,0,0,1,1,33,1,2,20.575,0,1,0,?
925,0,0,1,1,?,1,2,23.45,0,1,0,?
926,1,0,0,0,30,1,0,57.75,0,0,1,?
927,0,0,1,0,18.5,0,0,7.2292,0,0,1,?
928,0,0,1,1,?,0,0,8.05,0,1,0,?
929,0,0,1,1,21,0,0,8.6625,0,1,0,?
930,0,0,1,0,25,0,0,9.5,0,1,0,?
931,0,0,1,0,?,0,0,56.4958,0,1,0,?
932,0,0,1,0,39,0,1,13.4167,0,0,1,?
933,1,0,0,0,?,0,0,26.55,0,1,0,?
934,0,0,1,0,41,0,0,7.85,0,1,0,?
935,0,1,0,1,30,0,0,13,0,1,0,?
936,1,0,0,1,45,1,0,52.5542,0,1,0,?
937,0,0,1,0,25,0,0,7.925,0,1,0,?
938,1,0,0,0,45,0,0,29.7,0,0,1,?
939,0,0,1,0,?,0,0,7.75,1,0,0,?
940,1,0,0,1,60,0,0,76.2917,0,0,1,?
941,0,0,1,1,36,0,2,15.9,0,1,0,?
942,1,0,0,0,24,1,0,60,0,1,0,?
943,0,1,0,0,27,0,0,15.0333,0,0,1,?
944,0,1,0,1,20,2,1,23,0,1,0,?
945,1,0,0,1,28,3,2,263,0,1,0,?
946,0,1,0,0,?,0,0,15.5792,0,0,1,?
947,0,0,1,0,10,4,1,29.125,1,0,0,?
948,0,0,1,0,35,0,0,7.8958,0,1,0,?
949,0,0,1,0,25,0,0,7.65,0,1,0,?
950,0,0,1,0,?,1,0,16.1,0,1,0,?
951,1,0,0,1,36,0,0,262.375,0,0,1,?
952,0,0,1,0,17,0,0,7.8958,0,1,0,?
953,0,1,0,0,32,0,0,13.5,0,1,0,?
954,0,0,1,0,18,0,0,7.75,0,1,0,?
955,0,0,1,1,22,0,0,7.725,1,0,0,?
956,1,0,0,0,13,2,2,262.375,0,0,1,?
957,0,1,0,1,?,0,0,21,0,1,0,?
958,0,0,1,1,18,0,0,7.8792,1,0,0,?
959,1,0,0,0,47,0,0,42.4,0,1,0,?
960,1,0,0,0,31,0,0,28.5375,0,0,1,?
961,1,0,0,1,60,1,4,263,0,1,0,?
962,0,0,1,1,24,0,0,7.75,1,0,0,?
963,0,0,1,0,21,0,0,7.8958,0,1,0,?
964,0,0,1,1,29,0,0,7.925,0,1,0,?
965,1,0,0,0,28.5,0,0,27.7208,0,0,1,?
966,1,0,0,1,35,0,0,211.5,0,0,1,?
967,1,0,0,0,32.5,0,0,211.5,0,0,1,?
968,0,0,1,0,?,0,0,8.05,0,1,0,?
969,1,0,0,1,55,2,0,25.7,0,1,0,?
970,0,1,0,0,30,0,0,13,0,1,0,?
971,0,0,1,1,24,0,0,7.75,1,0,0,?
972,0,0,1,0,6,1,1,15.2458,0,0,1,?
973,1,0,0,0,67,1,0,221.7792,0,1,0,?
974,1,0,0,0,49,0,0,26,0,1,0,?
975,0,0,1,0,?,0,0,7.8958,0,1,0,?
976,0,1,0,0,?,0,0,10.7083,1,0,0,?
977,0,0,1,0,?,1,0,14.4542,0,0,1,?
978,0,0,1,1,27,0,0,7.8792,1,0,0,?
979,0,0,1,1,18,0,0,8.05,0,1,0,?
980,0,0,1,1,?,0,0,7.75,1,0,0,?
981,0,1,0,0,2,1,1,23,0,1,0,?
982,0,0,1,1,22,1,0,13.9,0,1,0,?
983,0,0,1,0,?,0,0,7.775,0,1,0,?
984,1,0,0,1,27,1,2,52,0,1,0,?
985,0,0,1,0,?,0,0,8.05,0,1,0,?
986,1,0,0,0,25,0,0,26,0,0,1,?
987,0,0,1,0,25,0,0,7.7958,0,1,0,?
988,1,0,0,1,76,1,0,78.85,0,1,0,?
989,0,0,1,0,29,0,0,7.925,0,1,0,?
990,0,0,1,1,20,0,0,7.8542,0,1,0,?
991,0,0,1,0,33,0,0,8.05,0,1,0,?
992,1,0,0,1,43,1,0,55.4417,0,0,1,?
993,0,1,0,0,27,1,0,26,0,1,0,?
994,0,0,1,0,?,0,0,7.75,1,0,0,?
995,0,0,1,0,26,0,0,7.775,0,1,0,?
996,0,0,1,1,16,1,1,8.5167,0,0,1,?
997,0,0,1,0,28,0,0,22.525,0,1,0,?
998,0,0,1,0,21,0,0,7.8208,1,0,0,?
999,0,0,1,0,?,0,0,7.75,1,0,0,?
1000,0,0,1,0,?,0,0,8.7125,0,1,0,?
1001,0,1,0,0,18.5,0,0,13,0,1,0,?
1002,0,1,0,0,41,0,0,15.0458,0,0,1,?
1003,0,0,1,1,?,0,0,7.7792,1,0,0,?
1004,1,0,0,1,36,0,0,31.6792,0,0,1,?
1005,0,0,1,1,18.5,0,0,7.2833,1,0,0,?
1006,1,0,0,1,63,1,0,221.7792,0,1,0,?
1007,0,0,1,0,18,1,0,14.4542,0,0,1,?
1008,0,0,1,0,?,0,0,6.4375,0,0,1,?
1009,0,0,1,1,1,1,1,16.7,0,1,0,?
1010,1,0,0,0,36,0,0,75.2417,0,0,1,?
1011,0,1,0,1,29,1,0,26,0,1,0,?
1012,0,1,0,1,12,0,0,15.75,0,1,0,?
1013,0,0,1,0,?,1,0,7.75,1,0,0,?
1014,1,0,0,1,35,1,0,57.75,0,0,1,?
1015,0,0,1,0,28,0,0,7.25,0,1,0,?
1016,0,0,1,0,?,0,0,7.75,1,0,0,?
1017,0,0,1,1,17,0,1,16.1,0,1,0,?
1018,0,0,1,0,22,0,0,7.7958,0,1,0,?
1019,0,0,1,1,?,2,0,23.25,1,0,0,?
1020,0,1,0,0,42,0,0,13,0,1,0,?
1021,0,0,1,0,24,0,0,8.05,0,1,0,?
1022,0,0,1,0,32,0,0,8.05,0,1,0,?
1023,1,0,0,0,53,0,0,28.5,0,0,1,?
1024,0,0,1,1,?,0,4,25.4667,0,1,0,?
1025,0,0,1,0,?,1,0,6.4375,0,0,1,?
1026,0,0,1,0,43,0,0,7.8958,0,1,0,?
1027,0,0,1,0,24,0,0,7.8542,0,1,0,?
1028,0,0,1,0,26.5,0,0,7.225,0,0,1,?
1029,0,1,0,0,26,0,0,13,0,1,0,?
1030,0,0,1,1,23,0,0,8.05,0,1,0,?
1031,0,0,1,0,40,1,6,46.9,0,1,0,?
1032,0,0,1,1,10,5,2,46.9,0,1,0,?
1033,1,0,0,1,33,0,0,151.55,0,1,0,?
1034,1,0,0,0,61,1,3,262.375,0,0,1,?
1035,0,1,0,0,28,0,0,26,0,1,0,?
1036,1,0,0,0,42,0,0,26.55,0,1,0,?
1037,0,0,1,0,31,3,0,18,0,1,0,?
1038,1,0,0,0,?,0,0,51.8625,0,1,0,?
1039,0,0,1,0,22,0,0,8.05,0,1,0,?
1040,1,0,0,0,?,0,0,26.55,0,1,0,?
1041,0,1,0,0,30,1,1,26,0,1,0,?
1042,1,0,0,1,23,0,1,83.1583,0,0,1,?
1043,0,0,1,0,?,0,0,7.8958,0,0,1,?
1044,0,0,1,0,60.5,0,0,?,0,1,0,?
1045,0,0,1,1,36,0,2,12.1833,0,1,0,?
1046,0,0,1,0,13,4,2,31.3875,0,1,0,?
1047,0,0,1,0,24,0,0,7.55,0,1,0,?
1048,1,0,0,1,29,0,0,221.7792,0,1,0,?
1049,0,0,1,1,23,0,0,7.8542,0,1,0,?
1050,1,0,0,0,42,0,0,26.55,0,1,0,?
1051,0,0,1,1,26,0,2,13.775,0,1,0,?
1052,0,0,1,1,?,0,0,7.7333,1,0,0,?
1053,0,0,1,0,7,1,1,15.2458,0,0,1,?
1054,0,1,0,1,26,0,0,13.5,0,1,0,?
1055,0,0,1,0,?,0,0,7,0,1,0,?
1056,0,1,0,0,41,0,0,13,0,1,0,?
1057,0,0,1,1,26,1,1,22.025,0,1,0,?
1058,1,0,0,0,48,0,0,50.4958,0,0,1,?
1059,0,0,1,0,18,2,2,34.375,0,1,0,?
1060,1,0,0,1,?,0,0,27.7208,0,0,1,?
1061,0,0,1,1,22,0,0,8.9625,0,1,0,?
1062,0,0,1,0,?,0,0,7.55,0,1,0,?
1063,0,0,1,0,27,0,0,7.225,0,0,1,?
1064,0,0,1,0,23,1,0,13.9,0,1,0,?
1065,0,0,1,0,?,0,0,7.2292,0,0,1,?
1066,0,0,1,0,40,1,5,31.3875,0,1,0,?
1067,0,1,0,1,15,0,2,39,0,1,0,?
1068,0,1,0,1,20,0,0,36.75,0,1,0,?
1069,1,0,0,0,54,1,0,55.4417,0,0,1,?
1070,0,1,0,1,36,0,3,39,0,1,0,?
1071,1,0,0,1,64,0,2,83.1583,0,0,1,?
1072,0,1,0,0,30,0,0,13,0,1,0,?
1073,1,0,0,0,37,1,1,83.1583,0,0,1,?
1074,1,0,0,1,18,1,0,53.1,0,1,0,?
1075,0,0,1,0,?,0,0,7.75,1,0,0,?
1076,1,0,0,1,27,1,1,247.5208,0,0,1,?
1077,0,1,0,0,40,0,0,16,0,1,0,?
1078,0,1,0,1,21,0,1,21,0,1,0,?
1079,0,0,1,0,17,2,0,8.05,0,1,0,?
1080,0,0,1,1,?,8,2,69.55,0,1,0,?
1081,0,1,0,0,40,0,0,13,0,1,0,?
1082,0,1,0,0,34,1,0,26,0,1,0,?
1083,1,0,0,0,?,0,0,26,0,1,0,?
1084,0,0,1,0,11.5,1,1,14.5,0,1,0,?
1085,0,1,0,0,61,0,0,12.35,1,0,0,?
1086,0,1,0,0,8,0,2,32.5,0,1,0,?
1087,0,0,1,0,33,0,0,7.8542,0,1,0,?
1088,1,0,0,0,6,0,2,134.5,0,0,1,?
1089,0,0,1,1,18,0,0,7.775,0,1,0,?
1090,0,1,0,0,23,0,0,10.5,0,1,0,?
1091,0,0,1,1,?,0,0,8.1125,0,1,0,?
1092,0,0,1,1,?,0,0,15.5,1,0,0,?
1093,0,0,1,0,0.33,0,2,14.4,0,1,0,?
1094,1,0,0,0,47,1,0,227.525,0,0,1,?
1095,0,1,0,1,8,1,1,26,0,1,0,?
1096,0,1,0,0,25,0,0,10.5,0,1,0,?
1097,1,0,0,0,?,0,0,25.7417,0,0,1,?
1098,0,0,1,1,35,0,0,7.75,1,0,0,?
1099,0,1,0,0,24,0,0,10.5,0,1,0,?
1100,1,0,0,1,33,0,0,27.7208,0,0,1,?
1101,0,0,1,0,25,0,0,7.8958,0,1,0,?
1102,0,0,1,0,32,0,0,22.525,0,1,0,?
1103,0,0,1,0,?,0,0,7.05,0,1,0,?
1104,0,1,0,0,17,0,0,73.5,0,1,0,?
1105,0,1,0,1,60,1,0,26,0,1,0,?
1106,0,0,1,1,38,4,2,7.775,0,1,0,?
1107,1,0,0,0,42,0,0,42.5,0,1,0,?
1108,0,0,1,1,?,0,0,7.8792,1,0,0,?
1109,1,0,0,0,57,1,1,164.8667,0,1,0,?
1110,1,0,0,1,50,1,1,211.5,0,0,1,?
1111,0,0,1,0,?,0,0,8.05,0,1,0,?
1112,0,1,0,1,30,1,0,13.8583,0,0,1,?
1113,0,0,1,0,21,0,0,8.05,0,1,0,?
1114,0,1,0,1,22,0,0,10.5,0,1,0,?
1115,0,0,1,0,21,0,0,7.7958,0,1,0,?
1116,1,0,0,1,53,0,0,27.4458,0,0,1,?
1117,0,0,1,1,?,0,2,15.2458,0,0,1,?
1118,0,0,1,0,23,0,0,7.7958,0,1,0,?
1119,0,0,1,1,?,0,0,7.75,1,0,0,?
1120,0,0,1,0,40.5,0,0,15.1,0,1,0,?
1121,0,1,0,0,36,0,0,13,0,1,0,?
1122,0,1,0,0,14,0,0,65,0,1,0,?
1123,1,0,0,1,21,0,0,26.55,0,1,0,?
1124,0,0,1,0,21,1,0,6.4958,0,1,0,?
1125,0,0,1,0,?,0,0,7.8792,1,0,0,?
1126,1,0,0,0,39,1,0,71.2833,0,0,1,?
1127,0,0,1,0,20,0,0,7.8542,0,1,0,?
1128,1,0,0,0,64,1,0,75.25,0,0,1,?
1129,0,0,1,0,20,0,0,7.225,0,0,1,?
1130,0,1,0,1,18,1,1,13,0,1,0,?
1131,1,0,0,1,48,1,0,106.425,0,0,1,?
1132,1,0,0,1,55,0,0,27.7208,0,0,1,?
1133,0,1,0,1,45,0,2,30,0,1,0,?
1134,1,0,0,0,45,1,1,134.5,0,0,1,?
1135,0,0,1,0,?,0,0,7.8875,0,1,0,?
1136,0,0,1,0,?,1,2,23.45,0,1,0,?
1137,1,0,0,0,41,1,0,51.8625,0,1,0,?
1138,0,1,0,1,22,0,0,21,0,1,0,?
1139,0,1,0,0,42,1,1,32.5,0,1,0,?
1140,0,1,0,1,29,1,0,26,0,1,0,?
1141,0,0,1,1,?,1,0,14.4542,0,0,1,?
1142,0,1,0,1,0.92,1,2,27.75,0,1,0,?
1143,0,0,1,0,20,0,0,7.925,0,1,0,?
1144,1,0,0,0,27,1,0,136.7792,0,0,1,?
1145,0,0,1,0,24,0,0,9.325,0,1,0,?
1146,0,0,1,0,32.5,0,0,9.5,0,1,0,?
1147,0,0,1,0,?,0,0,7.55,0,1,0,?
1148,0,0,1,0,?,0,0,7.75,1,0,0,?
1149,0,0,1,0,28,0,0,8.05,0,1,0,?
1150,0,1,0,1,19,0,0,13,0,1,0,?
1151,0,0,1,0,21,0,0,7.775,0,1,0,?
1152,0,0,1,0,36.5,1,0,17.4,0,1,0,?
1153,0,0,1,0,21,0,0,7.8542,0,1,0,?
1154,0,1,0,1,29,0,2,23,0,1,0,?
1155,0,0,1,1,1,1,1,12.1833,0,1,0,?
1156,0,1,0,0,30,0,0,12.7375,0,0,1,?
1157,0,0,1,0,?,0,0,7.8958,0,1,0,?
1158,1,0,0,0,?,0,0,0,0,1,0,?
1159,0,0,1,0,?,0,0,7.55,0,1,0,?
1160,0,0,1,1,?,0,0,8.05,0,1,0,?
1161,0,0,1,0,17,0,0,8.6625,0,1,0,?
1162,1,0,0,0,46,0,0,75.2417,0,0,1,?
1163,0,0,1,0,?,0,0,7.75,1,0,0,?
1164,1,0,0,1,26,1,0,136.7792,0,0,1,?
1165,0,0,1,1,?,1,0,15.5,1,0,0,?
1166,0,0,1,0,?,0,0,7.225,0,0,1,?
1167,0,1,0,1,20,1,0,26,0,1,0,?
1168,0,1,0,0,28,0,0,10.5,0,1,0,?
1169,0,1,0,0,40,1,0,26,0,1,0,?
1170,0,1,0,0,30,1,0,21,0,1,0,?
1171,0,1,0,0,22,0,0,10.5,0,1,0,?
1172,0,0,1,1,23,0,0,8.6625,0,1,0,?
1173,0,0,1,0,0.75,1,1,13.775,0,1,0,?
1174,0,0,1,1,?,0,0,7.75,1,0,0,?
1175,0,0,1,1,9,1,1,15.2458,0,0,1,?
1176,0,0,1,1,2,1,1,20.2125,0,1,0,?
1177,0,0,1,0,36,0,0,7.25,0,1,0,?
1178,0,0,1,0,?,0,0,7.25,0,1,0,?
1179,1,0,0,0,24,1,0,82.2667,0,1,0,?
1180,0,0,1,0,?,0,0,7.2292,0,0,1,?
1181,0,0,1,0,?,0,0,8.05,0,1,0,?
1182,1,0,0,0,?,0,0,39.6,0,1,0,?
1183,0,0,1,1,30,0,0,6.95,1,0,0,?
1184,0,0,1,0,?,0,0,7.2292,0,0,1,?
1185,1,0,0,0,53,1,1,81.8583,0,1,0,?
1186,0,0,1,0,36,0,0,9.5,0,1,0,?
1187,0,0,1,0,26,0,0,7.8958,0,1,0,?
1188,0,1,0,1,1,1,2,41.5792,0,0,1,?
1189,0,0,1,0,?,2,0,21.6792,0,0,1,?
1190,1,0,0,0,30,0,0,45.5,0,1,0,?
1191,0,0,1,0,29,0,0,7.8542,0,1,0,?
1192,0,0,1,0,32,0,0,7.775,0,1,0,?
1193,0,1,0,0,?,0,0,15.0458,0,0,1,?
1194,0,1,0,0,43,0,1,21,0,1,0,?
1195,0,0,1,0,24,0,0,8.6625,0,1,0,?
1196,0,0,1,1,?,0,0,7.75,1,0,0,?
1197,1,0,0,1,64,1,1,26.55,0,1,0,?
1198,1,0,0,0,30,1,2,151.55,0,1,0,?
1199,0,0,1,0,0.83,0,1,9.35,0,1,0,?
1200,1,0,0,0,55,1,1,93.5,0,1,0,?
1201,0,0,1,1,45,1,0,14.1083,0,1,0,?
1202,0,0,1,0,18,0,0,8.6625,0,1,0,?
1203,0,0,1,0,22,0,0,7.225,0,0,1,?
1204,0,0,1,0,?,0,0,7.575,0,1,0,?
1205,0,0,1,1,37,0,0,7.75,1,0,0,?
1206,1,0,0,1,55,0,0,135.6333,0,0,1,?
1207,0,0,1,1,17,0,0,7.7333,1,0,0,?
1208,1,0,0,0,57,1,0,146.5208,0,0,1,?
1209,0,1,0,0,19,0,0,10.5,0,1,0,?
1210,0,0,1,0,27,0,0,7.8542,0,1,0,?
1211,0,1,0,0,22,2,0,31.5,0,1,0,?
1212,0,0,1,0,26,0,0,7.775,0,1,0,?
1213,0,0,1,0,25,0,0,7.2292,0,0,1,?
1214,0,1,0,0,26,0,0,13,0,1,0,?
1215,1,0,0,0,33,0,0,26.55,0,1,0,?
1216,1,0,0,1,39,0,0,211.3375,0,1,0,?
1217,0,0,1,0,23,0,0,7.05,0,1,0,?
1218,0,1,0,1,12,2,1,39,0,1,0,?
1219,1,0,0,0,46,0,0,79.2,0,0,1,?
1220,0,1,0,0,29,1,0,26,0,1,0,?
1221,0,1,0,0,21,0,0,13,0,1,0,?
1222,0,1,0,1,48,0,2,36.75,0,1,0,?
1223,1,0,0,0,39,0,0,29.7,0,0,1,?
1224,0,0,1,0,?,0,0,7.225,0,0,1,?
1225,0,0,1,1,19,1,1,15.7417,0,0,1,?
1226,0,0,1,0,27,0,0,7.8958,0,1,0,?
1227,1,0,0,0,30,0,0,26,0,1,0,?
1228,0,1,0,0,32,0,0,13,0,1,0,?
1229,0,0,1,0,39,0,2,7.2292,0,0,1,?
1230,0,1,0,0,25,0,0,31.5,0,1,0,?
1231,0,0,1,0,?,0,0,7.2292,0,0,1,?
1232,0,1,0,0,18,0,0,10.5,0,1,0,?
1233,0,0,1,0,32,0,0,7.5792,0,1,0,?
1234,0,0,1,0,?,1,9,69.55,0,1,0,?
1235,1,0,0,1,58,0,1,512.3292,0,0,1,?
1236,0,0,1,0,?,1,1,14.5,0,1,0,?
1237,0,0,1,1,16,0,0,7.65,0,1,0,?
1238,0,1,0,0,26,0,0,13,0,1,0,?
1239,0,0,1,1,38,0,0,7.2292,0,0,1,?
1240,0,1,0,0,24,0,0,13.5,0,1,0,?
1241,0,1,0,1,31,0,0,21,0,1,0,?
1242,1,0,0,1,45,0,1,63.3583,0,0,1,?
1243,0,1,0,0,25,0,0,10.5,0,1,0,?
1244,0,1,0,0,18,0,0,73.5,0,1,0,?
1245,0,1,0,0,49,1,2,65,0,1,0,?
1246,0,0,1,1,0.17,1,2,20.575,0,1,0,?
1247,1,0,0,0,50,0,0,26,0,1,0,?
1248,1,0,0,1,59,2,0,51.4792,0,1,0,?
1249,0,0,1,0,?,0,0,7.8792,0,1,0,?
1250,0,0,1,0,?,0,0,7.75,1,0,0,?
1251,0,0,1,1,30,1,0,15.55,0,1,0,?
1252,0,0,1,0,14.5,8,2,69.55,0,1,0,?
1253,0,1,0,1,24,1,1,37.0042,0,0,1,?
1254,0,1,0,1,31,0,0,21,0,1,0,?
1255,0,0,1,0,27,0,0,8.6625,0,1,0,?
1256,1,0,0,1,25,1,0,55.4417,0,0,1,?
1257,0,0,1,1,?,1,9,69.55,0,1,0,?
1258,0,0,1,0,?,1,0,14.4583,0,0,1,?
1259,0,0,1,1,22,0,0,39.6875,0,1,0,?
1260,1,0,0,1,45,0,1,59.4,0,0,1,?
1261,0,1,0,0,29,0,0,13.8583,0,0,1,?
1262,0,1,0,0,21,1,0,11.5,0,1,0,?
1263,1,0,0,1,31,0,0,134.5,0,0,1,?
1264,1,0,0,0,49,0,0,0,0,1,0,?
1265,0,1,0,0,44,0,0,13,0,1,0,?
1266,1,0,0,1,54,1,1,81.8583,0,1,0,?
1267,1,0,0,1,45,0,0,262.375,0,0,1,?
1268,0,0,1,1,22,2,0,8.6625,0,1,0,?
1269,0,1,0,0,21,0,0,11.5,0,1,0,?
1270,1,0,0,0,55,0,0,50,0,1,0,?
1271,0,0,1,0,5,4,2,31.3875,0,1,0,?
1272,0,0,1,0,?,0,0,7.75,1,0,0,?
1273,0,0,1,0,26,0,0,7.8792,1,0,0,?
1274,0,0,1,1,?,0,0,14.5,0,1,0,?
1275,0,0,1,1,19,1,0,16.1,0,1,0,?
1276,0,1,0,0,?,0,0,12.875,0,1,0,?
1277,0,1,0,1,24,1,2,65,0,1,0,?
1278,0,0,1,0,24,0,0,7.775,0,1,0,?
1279,0,1,0,0,57,0,0,13,0,1,0,?
1280,0,0,1,0,21,0,0,7.75,1,0,0,?
1281,0,0,1,0,6,3,1,21.075,0,1,0,?
1282,1,0,0,0,23,0,0,93.5,0,1,0,?
1283,1,0,0,1,51,0,1,39.4,0,1,0,?
1284,0,0,1,0,13,0,2,20.25,0,1,0,?
1285,0,1,0,0,47,0,0,10.5,0,1,0,?
1286,0,0,1,0,29,3,1,22.025,0,1,0,?
1287,1,0,0,1,18,1,0,60,0,1,0,?
1288,0,0,1,0,24,0,0,7.25,1,0,0,?
1289,1,0,0,1,48,1,1,79.2,0,0,1,?
1290,0,0,1,0,22,0,0,7.775,0,1,0,?
1291,0,0,1,0,31,0,0,7.7333,1,0,0,?
1292,1,0,0,1,30,0,0,164.8667,0,1,0,?
1293,0,1,0,0,38,1,0,21,0,1,0,?
1294,1,0,0,1,22,0,1,59.4,0,0,1,?
1295,1,0,0,0,17,0,0,47.1,0,1,0,?
1296,1,0,0,0,43,1,0,27.7208,0,0,1,?
1297,0,1,0,0,20,0,0,13.8625,0,0,1,?
1298,0,1,0,0,23,1,0,10.5,0,1,0,?
1299,1,0,0,0,50,1,1,211.5,0,0,1,?
1300,0,0,1,1,?,0,0,7.7208,1,0,0,?
1301,0,0,1,1,3,1,1,13.775,0,1,0,?
1302,0,0,1,1,?,0,0,7.75,1,0,0,?
1303,1,0,0,1,37,1,0,90,1,0,0,?
1304,0,0,1,1,28,0,0,7.775,0,1,0,?
1305,0,0,1,0,?,0,0,8.05,0,1,0,?
1306,1,0,0,1,39,0,0,108.9,0,0,1,?
1307,0,0,1,0,38.5,0,0,7.25,0,1,0,?
1308,0,0,1,0,?,0,0,8.05,0,1,0,?
1309,0,0,1,0,?,1,1,22.3583,0,0,1,?
